Provincia,Municipio,Población,Longitud ETRS89,Latitud ETRS89,Altitud
Almería,Alicún,217,-2.60215517,36.96671607,414
Almería,Almería,195389,-2.46413188,36.83892362,16
Almería,Almócita,174,-2.78984397,37.00274251,835
Almería,Alsodux,132,-2.59464638,37.00135999,309
Almería,Antas,3124,-1.91715315,37.24459175,108
Almería,Arboleas,4463,-2.0754646,37.35116011,270
Almería,Armuña de Almanzora,327,-2.41135555,37.34982202,630
Almería,Bacares,244,-2.45318749,37.26120059,1209
Almería,Bayárcal,303,-2.99562617,37.03018267,1252
Almería,Bayarque,215,-2.43594364,37.33068864,817
Almería,Bédar,892,-1.98182232,37.19030833,401
Almería,Beires,110,-2.79152516,37.01264326,934
Almería,Benahadux,4212,-2.45067345,36.92496886,105
Almería,Benitagla,66,-2.23834784,37.23123941,945
Almería,Benizalón,263,-2.24067815,37.21246044,932
Almería,Bentarique,238,-2.61889692,36.98631438,316
Almería,Berja,12331,-2.94948207,36.84732147,340
Almería,Canjáyar,1223,-2.73944378,37.01006973,602
Almería,Cantoria,3251,-2.19324978,37.35219371,381
Almería,Carboneras,7837,-1.89349648,36.99742391,6
Almería,Castro de Filabres,130,-2.43912676,37.18484936,945
Almería,Cóbdar,156,-2.21001778,37.26157453,606
Almería,Cuevas del Almanzora,13655,-1.87991806,37.2967313,89
Almería,Chercos,291,-2.26646383,37.25435736,912
Almería,Chirivel,1568,-2.26658541,37.59512473,1039
Almería,Dalías,3986,-2.87111055,36.82078429,411
Almería,Enix,434,-2.60175846,36.8769393,716
Almería,Felix,661,-2.65861622,36.86898567,820
Almería,Fines,2048,-2.263629,37.35887254,444
Almería,Fiñana,2014,-2.84178852,37.17135438,950
Almería,Fondón,1002,-2.85918906,36.97993167,846
Almería,Gádor,3037,-2.49279322,36.9530923,173
Almería,Los Gallardos,2841,-1.9417002,37.17027055,121
Almería,Garrucha,8666,-1.82347743,37.1797194,20
Almería,Gérgal,1030,-2.53905331,37.12083904,763
Almería,Huécija,501,-2.60994487,36.96802203,409
Almería,Huércal de Almería,17234,-2.43599715,36.88406432,69
